IATA_ID,Name,WMO_ID,MSC_ID,Latitude,Longitude,Elevation(m),Data_Provider,Dataset/Network,AUTO/MAN,Province/Territory
COGE,GERALDTON AIRPORT,73071,6042719,49.780908,-86.932297,349.97,MSC,CA,AUTO,Ontario
COGI,GUELPH TURFGRASS INSTITUTE,73073,6143092,43.541873,-80.222081,336.520,MSC,CA,AUTO,Ontario
COGP,OGOKI POST,73045,6075788,51.657738,-85.900278,180.7,MSC,CA,AUTO,Ontario
COKN,KING CITY NORTH,73074,6154150,43.963525,-79.574133,362.0,MSC,CA,AUTO,Ontario
COSL,SIOUX LOOKOUT AIRPORT,73017,6037800,50.120537,-91.902802,386.726,MSC,CA,AUTO,Ontario
COSM,SAULT STE. MARIE AIRPORT,73070,6057593,46.478055,-84.516667,189.0,MSC,CA,AUTO,Ontario
COTL,BIG TROUT LAKE,71208,6010740,53.8164,-89.8916,217.58,MSC,CA,AUTO,Ontario
COTR,TERRACE BAY AIRPORT,73018,6048232,48.815274,-87.091749,287.709,MSC,CA,AUTO,Ontario
COTU,PETERBOROUGH TRENT U EXPERIMENTAL FARM,73180,6166457,44.353208,-78.278737,227.23,MSC,CA,AUTO,Ontario
COWW,WEAGAMOW LAKE,73046,6019400,52.943781,-91.316002,294.374,MSC,CA,AUTO,Ontario
CPAA,ALLIANCE AGCM,71006,3010162,52.315280,-111.778613,737.0,GovAB,CA,AUTO,Alberta
CPAC,ACADIA VALLEY,71048,3020035,51.066136,-110.316969,735.0,GovAB,CA,AUTO,Alberta
CPAF,ATHABASCA AGCM,71271,3060330,54.634723,-113.381947,635.0,GovAB,CA,AUTO,Alberta
CPAH,ALBERT HALL AGCM,71005,3010060,53.113334,-111.181113,658.0,GovAB,CA,AUTO,Alberta
CPAT,ATLEE AGCM,71986,3020405,50.810019,-111.005564,795.0,GovAB,CA,AUTO,Alberta
CPAV,ARDENVILLE,,3030200,49.527511,-113.433914,1126.0,GovAB,CA,AUTO,Alberta
CPAZ,AZURE,71981,3030450,50.511944,-114.013061,1143.0,GovAB,CA,AUTO,Alberta
CPBA,BARONS AGCM,71007,3030529,50.025836,-113.224447,967.0,GovAB,CA,AUTO,Alberta
CPBC,BALLATER AGCM,,3070495,55.576944,-117.235556,560.0,GovAB,CA,AUTO,Alberta
CPBD,BLACK DIAMOND,71982,3030680,50.706669,-114.151667,1156.0,GovAB,CA,AUTO,Alberta
