IATA,FR name,EN name,Province,AUTO/MAN,Latitude,Longitude,Elevation,# ICAO ID,# WMO ID,# MSC ID,DST Time,STD Time,Data Provider,Data Provider French,Data Attribution Notice,Data Attribution Notice French
PULTENEY,PULTENEY POINT,PULTENEY POINT,BC,AUTO,50.6306,-127.155,9,,,1026550,PDT,PST,Government of Canada: Fisheries and Oceans Canada; Canadian Coast Guard,Gouvernement du Canada: Pêches et Océans Canada; Garde côtière canadienne,Observational data provided by the Government of Canada: Department of Fisheries and Oceans (DFO); Canadian Coast Guard (CCG). All rights reserved.,Données d’observation fournies par le Gouvernement du Canada: Pêches et Océans Canada (POC); Garde côtière canadienne (GCC). Tous droits réservés.
SCARLETT,SCARLETT POINT,SCARLETT POINT,BC,AUTO,50.8607,-127.6133,21,,,1027121,PDT,PST,Government of Canada: Fisheries and Oceans Canada; Canadian Coast Guard,Gouvernement du Canada: Pêches et Océans Canada; Garde côtière canadienne,Observational data provided by the Government of Canada: Department of Fisheries and Oceans (DFO); Canadian Coast Guard (CCG). All rights reserved.,Données d’observation fournies par le Gouvernement du Canada: Pêches et Océans Canada (POC); Garde côtière canadienne (GCC). Tous droits réservés.
ENTRANCE,ENTRANCE ISLAND,ENTRANCE ISLAND,BC,AUTO,49.2089,-123.8089,5,,,102BFHH,PDT,PST,Government of Canada: Fisheries and Oceans Canada; Canadian Coast Guard,Gouvernement du Canada: Pêches et Océans Canada; Garde côtière canadienne,Observational data provided by the Government of Canada: Department of Fisheries and Oceans (DFO); Canadian Coast Guard (CCG). All rights reserved.,Données d’observation fournies par le Gouvernement du Canada: Pêches et Océans Canada (POC); Garde côtière canadienne (GCC). Tous droits réservés.
AMPHITRITE,AMPHITRITE POINT,AMPHITRITE POINT,BC,AUTO,48.9211,-125.5411,26.5,,,1030426,PDT,PST,Government of Canada: Fisheries and Oceans Canada; Canadian Coast Guard,Gouvernement du Canada: Pêches et Océans Canada; Garde côtière canadienne,Observational data provided by the Government of Canada: Department of Fisheries and Oceans (DFO); Canadian Coast Guard (CCG). All rights reserved.,Données d’observation fournies par le Gouvernement du Canada: Pêches et Océans Canada (POC); Garde côtière canadienne (GCC). Tous droits réservés.
CAPE BEALE,CAPE BEALE LIGHT,CAPE BEALE LIGHT,BC,AUTO,48.7861,-125.2161,16.2,,,1031316,PDT,PST,Government of Canada: Fisheries and Oceans Canada; Canadian Coast Guard,Gouvernement du Canada: Pêches et Océans Canada; Garde côtière canadienne,Observational data provided by the Government of Canada: Department of Fisheries and Oceans (DFO); Canadian Coast Guard (CCG). All rights reserved.,Données d’observation fournies par le Gouvernement du Canada: Pêches et Océans Canada (POC); Garde côtière canadienne (GCC). Tous droits réservés.
CAPE SCOTT,CAPE SCOTT,CAPE SCOTT,BC,AUTO,50.7822,-128.4272,71.6,,,1031353,PDT,PST,Government of Canada: Fisheries and Oceans Canada; Canadian Coast Guard,Gouvernement du Canada: Pêches et Océans Canada; Garde côtière canadienne,Observational data provided by the Government of Canada: Department of Fisheries and Oceans (DFO); Canadian Coast Guard (CCG). All rights reserved.,Données d’observation fournies par le Gouvernement du Canada: Pêches et Océans Canada (POC); Garde côtière canadienne (GCC). Tous droits réservés.
CARMANAH,CARMANAH POINT,CARMANAH POINT,BC,AUTO,48.6117,-124.75,38.1,,,1031402,PDT,PST,Government of Canada: Fisheries and Oceans Canada; Canadian Coast Guard,Gouvernement du Canada: Pêches et Océans Canada; Garde côtière canadienne,Observational data provided by the Government of Canada: Department of Fisheries and Oceans (DFO); Canadian Coast Guard (CCG). All rights reserved.,Données d’observation fournies par le Gouvernement du Canada: Pêches et Océans Canada (POC); Garde côtière canadienne (GCC). Tous droits réservés.
ESTEVAN,ESTEVAN POINT,ESTEVAN POINT,BC,AUTO,49.3835,-126.5508,5.8,,,1032730,PDT,PST,Government of Canada: Fisheries and Oceans Canada; Canadian Coast Guard,Gouvernement du Canada: Pêches et Océans Canada; Garde côtière canadienne,Observational data provided by the Government of Canada: Department of Fisheries and Oceans (DFO); Canadian Coast Guard (CCG). All rights reserved.,Données d’observation fournies par le Gouvernement du Canada: Pêches et Océans Canada (POC); Garde côtière canadienne (GCC). Tous droits réservés.
LENNARD,LENNARD ISLAND,LENNARD ISLAND,BC,AUTO,49.1105,-125.9233,10.6,,,1034600,PDT,PST,Government of Canada: Fisheries and Oceans Canada; Canadian Coast Guard,Gouvernement du Canada: Pêches et Océans Canada; Garde côtière canadienne,Observational data provided by the Government of Canada: Department of Fisheries and Oceans (DFO); Canadian Coast Guard (CCG). All rights reserved.,Données d’observation fournies par le Gouvernement du Canada: Pêches et Océans Canada (POC); Garde côtière canadienne (GCC). Tous droits réservés.
NOOTKA,NOOTKA LIGHTSTATION,NOOTKA LIGHTSTATION,BC,AUTO,49.6,-126.6167,15.8,,,1035614,PDT,PST,Government of Canada: Fisheries and Oceans Canada; Canadian Coast Guard,Gouvernement du Canada: Pêches et Océans Canada; Garde côtière canadienne,Observational data provided by the Government of Canada: Department of Fisheries and Oceans (DFO); Canadian Coast Guard (CCG). All rights reserved.,Données d’observation fournies par le Gouvernement du Canada: Pêches et Océans Canada (POC); Garde côtière canadienne (GCC). Tous droits réservés.
PACHENA,PACHENA POINT,PACHENA POINT,BC,AUTO,48.7228,-125.0972,37,,,1035940,PDT,PST,Government of Canada: Fisheries and Oceans Canada; Canadian Coast Guard,Gouvernement du Canada: Pêches et Océans Canada; Garde côtière canadienne,Observational data provided by the Government of Canada: Department of Fisheries and Oceans (DFO); Canadian Coast Guard (CCG). All rights reserved.,Données d’observation fournies par le Gouvernement du Canada: Pêches et Océans Canada (POC); Garde côtière canadienne (GCC). Tous droits réservés.
QUATSINO,QUATSINO LIGHTSTATION,QUATSINO LIGHTSTATION,BC,AUTO,50.4411,-128.0325,21,,,1036572,PDT,PST,Government of Canada: Fisheries and Oceans Canada; Canadian Coast Guard,Gouvernement du Canada: Pêches et Océans Canada; Garde côtière canadienne,Observational data provided by the Government of Canada: Department of Fisheries and Oceans (DFO); Canadian Coast Guard (CCG). All rights reserved.,Données d’observation fournies par le Gouvernement du Canada: Pêches et Océans Canada (POC); Garde côtière canadienne (GCC). Tous droits réservés.
MERRY,MERRY ISLAND LIGHTSTATION,MERRY ISLAND LIGHTSTATION,BC,AUTO,49.4675,-123.9125,6.1,,,1045100,PDT,PST,Government of Canada: Fisheries and Oceans Canada; Canadian Coast Guard,Gouvernement du Canada: Pêches et Océans Canada; Garde côtière canadienne,Observational data provided by the Government of Canada: Department of Fisheries and Oceans (DFO); Canadian Coast Guard (CCG). All rights reserved.,Données d’observation fournies par le Gouvernement du Canada: Pêches et Océans Canada (POC); Garde côtière canadienne (GCC). Tous droits réservés.
LANGARA,LANGARA,LANGARA,BC,AUTO,54.2551,-133.058,42.69,,71899,1054500,PDT,PST,Government of Canada: Fisheries and Oceans Canada; Canadian Coast Guard,Gouvernement du Canada: Pêches et Océans Canada; Garde côtière canadienne,Observational data provided by the Government of Canada: Department of Fisheries and Oceans (DFO); Canadian Coast Guard (CCG). All rights reserved.,Données d’observation fournies par le Gouvernement du Canada: Pêches et Océans Canada (POC); Garde côtière canadienne (GCC). Tous droits réservés.
ADDENBROKE,ADDENBROKE ISLAND,ADDENBROKE ISLAND,BC,AUTO,51.6035,-127.8639,21.3,,,1060080,PDT,PST,Government of Canada: Fisheries and Oceans Canada; Canadian Coast Guard,Gouvernement du Canada: Pêches et Océans Canada; Garde côtière canadienne,Observational data provided by the Government of Canada: Department of Fisheries and Oceans (DFO); Canadian Coast Guard (CCG). All rights reserved.,Données d’observation fournies par le Gouvernement du Canada: Pêches et Océans Canada (POC); Garde côtière canadienne (GCC). Tous droits réservés.
BOAT BLUFF,BOAT BLUFF,BOAT BLUFF,BC,AUTO,52.643,-128.5239,10.7,,,1060901,PDT,PST,Government of Canada: Fisheries and Oceans Canada; Canadian Coast Guard,Gouvernement du Canada: Pêches et Océans Canada; Garde côtière canadienne,Observational data provided by the Government of Canada: Department of Fisheries and Oceans (DFO); Canadian Coast Guard (CCG). All rights reserved.,Données d’observation fournies par le Gouvernement du Canada: Pêches et Océans Canada (POC); Garde côtière canadienne (GCC). Tous droits réservés.
BONILLA,BONILLA ISLAND,BONILLA ISLAND,BC,AUTO,53.4928,-130.6377,16.2,,,1060902,PDT,PST,Government of Canada: Fisheries and Oceans Canada; Canadian Coast Guard,Gouvernement du Canada: Pêches et Océans Canada; Garde côtière canadienne,Observational data provided by the Government of Canada: Department of Fisheries and Oceans (DFO); Canadian Coast Guard (CCG). All rights reserved.,Données d’observation fournies par le Gouvernement du Canada: Pêches et Océans Canada (POC); Garde côtière canadienne (GCC). Tous droits réservés.
DRYAD,DRYAD POINT,DRYAD POINT,BC,AUTO,52.185,-128.112,3.5,,,1062544,PDT,PST,Government of Canada: Fisheries and Oceans Canada; Canadian Coast Guard,Gouvernement du Canada: Pêches et Océans Canada; Garde côtière canadienne,Observational data provided by the Government of Canada: Department of Fisheries and Oceans (DFO); Canadian Coast Guard (CCG). All rights reserved.,Données d’observation fournies par le Gouvernement du Canada: Pêches et Océans Canada (POC); Garde côtière canadienne (GCC). Tous droits réservés.
EGG ISLAND,EGG ISLAND,EGG ISLAND,BC,AUTO,51.2472,-127.8354,14,,,1062646,PDT,PST,Government of Canada: Fisheries and Oceans Canada; Canadian Coast Guard,Gouvernement du Canada: Pêches et Océans Canada; Garde côtière canadienne,Observational data provided by the Government of Canada: Department of Fisheries and Oceans (DFO); Canadian Coast Guard (CCG). All rights reserved.,Données d’observation fournies par le Gouvernement du Canada: Pêches et Océans Canada (POC); Garde côtière canadienne (GCC). Tous droits réservés.
GREEN,GREEN ISLAND,GREEN ISLAND,BC,AUTO,54.5686,-130.7081,11.9,,,1063298,PDT,PST,Government of Canada: Fisheries and Oceans Canada; Canadian Coast Guard,Gouvernement du Canada: Pêches et Océans Canada; Garde côtière canadienne,Observational data provided by the Government of Canada: Department of Fisheries and Oceans (DFO); Canadian Coast Guard (CCG). All rights reserved.,Données d’observation fournies par le Gouvernement du Canada: Pêches et Océans Canada (POC); Garde côtière canadienne (GCC). Tous droits réservés.
IVORY,IVORY ISLAND,IVORY ISLAND,BC,AUTO,52.2697,-128.4067,9.8,,,1063690,PDT,PST,Government of Canada: Fisheries and Oceans Canada; Canadian Coast Guard,Gouvernement du Canada: Pêches et Océans Canada; Garde côtière canadienne,Observational data provided by the Government of Canada: Department of Fisheries and Oceans (DFO); Canadian Coast Guard (CCG). All rights reserved.,Données d’observation fournies par le Gouvernement du Canada: Pêches et Océans Canada (POC); Garde côtière canadienne (GCC). Tous droits réservés.
MCINNES,MCINNES ISLAND,MCINNES ISLAND,BC,AUTO,52.25,-128.75,25.9,,71897,1065010,PDT,PST,Government of Canada: Fisheries and Oceans Canada; Canadian Coast Guard,Gouvernement du Canada: Pêches et Océans Canada; Garde côtière canadienne,Observational data provided by the Government of Canada: Department of Fisheries and Oceans (DFO); Canadian Coast Guard (CCG). All rights reserved.,Données d’observation fournies par le Gouvernement du Canada: Pêches et Océans Canada (POC); Garde côtière canadienne (GCC). Tous droits réservés.
TRIPLE,TRIPLE ISLAND,TRIPLE ISLAND,BC,AUTO,54.2947,-130.8803,20.7,,,1068250,PDT,PST,Government of Canada: Fisheries and Oceans Canada; Canadian Coast Guard,Gouvernement du Canada: Pêches et Océans Canada; Garde côtière canadienne,Observational data provided by the Government of Canada: Department of Fisheries and Oceans (DFO); Canadian Coast Guard (CCG). All rights reserved.,Données d’observation fournies par le Gouvernement du Canada: Pêches et Océans Canada (POC); Garde côtière canadienne (GCC). Tous droits réservés.
TSAWWASSEN,TSAWWASSEN FERRY,TSAWWASSEN FERRY,BC,AUTO,49.0047,-123.1328,7.3,,,1108290,PDT,PST,Government of Canada: Fisheries and Oceans Canada; Canadian Coast Guard,Gouvernement du Canada: Pêches et Océans Canada; Garde côtière canadienne,Observational data provided by the Government of Canada: Department of Fisheries and Oceans (DFO); Canadian Coast Guard (CCG). All rights reserved.,Données d’observation fournies par le Gouvernement du Canada: Pêches et Océans Canada (POC); Garde côtière canadienne (GCC). Tous droits réservés.
ACA005AE,Wrigley M124,Wrigley M124,NT,AUTO,63.20752407,-123.4289825,271,,,NWT_ENR_ACA005AE,MDT,MST,Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division,Gouvernement des Territoires du Nord-Ouest:  Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts,Data provided by the Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division (GNWT-ENR-FMD). All rights reserved.,Données d’observation fournies par le Gouvernement des Territoires du Nord-Ouest: Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts (GTNO-MERN-DAF). Tous droits réservés.
ACA016D8,Liard M124,Liard M124,NT,AUTO,60.23641866,-123.4728634,219,,,NWT_ENR_ACA016D8,MDT,MST,Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division,Gouvernement des Territoires du Nord-Ouest:  Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts,Data provided by the Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division (GNWT-ENR-FMD). All rights reserved.,Données d’observation fournies par le Gouvernement des Territoires du Nord-Ouest: Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts (GTNO-MERN-DAF). Tous droits réservés.
ACA0180A,Inuvik Tuk Highway FTS,Inuvik Tuk Highway FTS,NT,AUTO,68.53841667,-133.8404,96,,,NWT_ENR_ACA0180A,MDT,MST,Government of Northwest Territories: Department of Environment and Natural Resources; Water Resources Division,Gouvernement des Territoires du Nord-Ouest:  Ministère de l’Environnement et des Ressources naturelles; Division des ressources en eau,Data provided by the Government of Northwest Territories: Department of Environment and Natural Resources; Water Resources Division (GNWT-ENR-WRD). All rights reserved.,Données d’observation fournies par le Gouvernement des Territoires du Nord-Ouest: Ministère de l’Environnement et des Ressources naturelles; Division des ressources en eau (GTNO-MERN-DRE). Tous droits réservés.
ACA02342,Fort Good Hope QD,Fort Good Hope QD,NT,AUTO,66.24254224,-128.6509323,65,,,NWT_ENR_ACA02342,MDT,MST,Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division,Gouvernement des Territoires du Nord-Ouest:  Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts,Data provided by the Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division (GNWT-ENR-FMD). All rights reserved.,Données d’observation fournies par le Gouvernement des Territoires du Nord-Ouest: Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts (GTNO-MERN-DAF). Tous droits réservés.
ACA02D90,Jean Marie River,Jean Marie River,NT,AUTO,61.521773,-120.620758,137,,,NWT_ENR_ACA02D90,MDT,MST,Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division,Gouvernement des Territoires du Nord-Ouest:  Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts,Data provided by the Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division (GNWT-ENR-FMD). All rights reserved.,Données d’observation fournies par le Gouvernement des Territoires du Nord-Ouest: Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts (GTNO-MERN-DAF). Tous droits réservés.
ACA03034,Deline M124,Deline M124,NT,AUTO,65.19168815,-123.4262145,200,,,NWT_ENR_ACA03034,MDT,MST,Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division,Gouvernement des Territoires du Nord-Ouest:  Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts,Data provided by the Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division (GNWT-ENR-FMD). All rights reserved.,Données d’observation fournies par le Gouvernement des Territoires du Nord-Ouest: Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts (GTNO-MERN-DAF). Tous droits réservés.
ACA046A4,Colville lake M124,Colville lake M124,NT,AUTO,67.03959221,-126.0796165,261,,,NWT_ENR_ACA046A4,MDT,MST,Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division,Gouvernement des Territoires du Nord-Ouest:  Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts,Data provided by the Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division (GNWT-ENR-FMD). All rights reserved.,Données d’observation fournies par le Gouvernement des Territoires du Nord-Ouest: Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts (GTNO-MERN-DAF). Tous droits réservés.
ACA04876,Taltson Dam,Taltson Dam,NT,AUTO,60.39143,-111.35737,265,,,NWT_ENR_ACA04876,MDT,MST,Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division,Gouvernement des Territoires du Nord-Ouest:  Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts,Data provided by the Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division (GNWT-ENR-FMD). All rights reserved.,Données d’observation fournies par le Gouvernement des Territoires du Nord-Ouest: Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts (GTNO-MERN-DAF). Tous droits réservés.
ACA055D2,Fort Res QD,Fort Res QD,NT,AUTO,61.16488,-113.65857,166,,,NWT_ENR_ACA055D2,MDT,MST,Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division,Gouvernement des Territoires du Nord-Ouest:  Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts,Data provided by the Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division (GNWT-ENR-FMD). All rights reserved.,Données d’observation fournies par le Gouvernement des Territoires du Nord-Ouest: Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts (GTNO-MERN-DAF). Tous droits réservés.
ACA05B00,Enterprise QD M5,Enterprise QD M5,NT,AUTO,60.5588,-116.1414639,237,,,NWT_ENR_ACA05B00,MDT,MST,Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division,Gouvernement des Territoires du Nord-Ouest:  Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts,Data provided by the Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division (GNWT-ENR-FMD). All rights reserved.,Données d’observation fournies par le Gouvernement des Territoires du Nord-Ouest: Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts (GTNO-MERN-DAF). Tous droits réservés.
ACA06048,Lutsel Ke QD,Lutsel Ke QD,NT,AUTO,62.41558,-110.6901,149,,,NWT_ENR_ACA06048,MDT,MST,Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division,Gouvernement des Territoires du Nord-Ouest:  Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts,Data provided by the Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division (GNWT-ENR-FMD). All rights reserved.,Données d’observation fournies par le Gouvernement des Territoires du Nord-Ouest: Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts (GTNO-MERN-DAF). Tous droits réservés.
ACA0733E,Fort MacPherson QD,Fort MacPherson QD,NT,AUTO,67.4094,-134.8767,30,,,NWT_ENR_ACA0733E,MDT,MST,Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division,Gouvernement des Territoires du Nord-Ouest:  Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts,Data provided by the Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division (GNWT-ENR-FMD). All rights reserved.,Données d’observation fournies par le Gouvernement des Territoires du Nord-Ouest: Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts (GTNO-MERN-DAF). Tous droits réservés.
ACA090CC,Tsiigehtchic QD,Tsiigehtchic QD,NT,AUTO,67.4162,-133.6124,150,,,NWT_ENR_ACA090CC,MDT,MST,Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division,Gouvernement des Territoires du Nord-Ouest:  Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts,Data provided by the Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division (GNWT-ENR-FMD). All rights reserved.,Données d’observation fournies par le Gouvernement des Territoires du Nord-Ouest: Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts (GTNO-MERN-DAF). Tous droits réservés.
ACA0A556,Indin TL,Indin TL,NT,AUTO,64.25,-115.33334,300,,,NWT_ENR_ACA0A556,MDT,MST,Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division,Gouvernement des Territoires du Nord-Ouest:  Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts,Data provided by the Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division (GNWT-ENR-FMD). All rights reserved.,Données d’observation fournies par le Gouvernement des Territoires du Nord-Ouest: Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts (GTNO-MERN-DAF). Tous droits réservés.
ACA0B620,Powder Lake QD,Powder Lake QD,NT,AUTO,61.04819504,-109.3363112,357,,,NWT_ENR_ACA0B620,MDT,MST,Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division,Gouvernement des Territoires du Nord-Ouest:  Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts,Data provided by the Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division (GNWT-ENR-FMD). All rights reserved.,Données d’observation fournies par le Gouvernement des Territoires du Nord-Ouest: Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts (GTNO-MERN-DAF). Tous droits réservés.
ACA0C0B0,Ninelin Lake,Ninelin Lake,NT,AUTO,67.85306,-131.3417,160,,,NWT_ENR_ACA0C0B0,MDT,MST,Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division,Gouvernement des Territoires du Nord-Ouest:  Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts,Data provided by the Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division (GNWT-ENR-FMD). All rights reserved.,Données d’observation fournies par le Gouvernement des Territoires du Nord-Ouest: Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts (GTNO-MERN-DAF). Tous droits réservés.
ACA0CE62,Harry Channel,Harry Channel,NT,AUTO,69.21541667,-134.990833,8.8,,,NWT_ENR_ACA0CE62,MDT,MST,Government of Northwest Territories: Department of Environment and Natural Resources; Water Resources Division,Gouvernement des Territoires du Nord-Ouest:  Ministère de l’Environnement et des Ressources naturelles; Division des ressources en eau,Data provided by the Government of Northwest Territories: Department of Environment and Natural Resources; Water Resources Division (GNWT-ENR-WRD). All rights reserved.,Données d’observation fournies par le Gouvernement des Territoires du Nord-Ouest: Ministère de l’Environnement et des Ressources naturelles; Division des ressources en eau (GTNO-MERN-DRE). Tous droits réservés.
ACA0E88E,Peel Plateau Km 53,Peel Plateau Km 53,NT,AUTO,67.24688889,-135.2191667,399.9,,,NWT_ENR_ACA0E88E,MDT,MST,Government of Northwest Territories: Department of Environment and Natural Resources; Water Resources Division,Gouvernement des Territoires du Nord-Ouest:  Ministère de l’Environnement et des Ressources naturelles; Division des ressources en eau,Data provided by the Government of Northwest Territories: Department of Environment and Natural Resources; Water Resources Division (GNWT-ENR-WRD). All rights reserved.,Données d’observation fournies par le Gouvernement des Territoires du Nord-Ouest: Ministère de l’Environnement et des Ressources naturelles; Division des ressources en eau (GTNO-MERN-DRE). Tous droits réservés.
ACA0F52A,Gray Lake QD,Gray Lake QD,NT,AUTO,61.833383,-108.382316,336,,,NWT_ENR_ACA0F52A,MDT,MST,Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division,Gouvernement des Territoires du Nord-Ouest:  Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts,Data provided by the Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division (GNWT-ENR-FMD). All rights reserved.,Données d’observation fournies par le Gouvernement des Territoires du Nord-Ouest: Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts (GTNO-MERN-DAF). Tous droits réservés.
ACA11AF0,Winter Lake,Winter Lake,NT,AUTO,64.49761111,-113.0243056,366,,,NWT_ENR_ACA11AF0,MDT,MST,Government of Northwest Territories: Department of Environment and Natural Resources; Water Resources Division,Gouvernement des Territoires du Nord-Ouest:  Ministère de l’Environnement et des Ressources naturelles; Division des ressources en eau,Data provided by the Government of Northwest Territories: Department of Environment and Natural Resources; Water Resources Division (GNWT-ENR-WRD). All rights reserved.,Données d’observation fournies par le Gouvernement des Territoires du Nord-Ouest: Ministère de l’Environnement et des Ressources naturelles; Division des ressources en eau (GTNO-MERN-DRE). Tous droits réservés.
ACA121B8,West Horn TL,West Horn TL,NT,AUTO,61.933334,-119.81917,730,,,NWT_ENR_ACA121B8,MDT,MST,Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division,Gouvernement des Territoires du Nord-Ouest:  Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts,Data provided by the Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division (GNWT-ENR-FMD). All rights reserved.,Données d’observation fournies par le Gouvernement des Territoires du Nord-Ouest: Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts (GTNO-MERN-DAF). Tous droits réservés.
ACA132CE,Bliss Lake,Bliss Lake,NT,AUTO,62.65,-113.7333,307,,,NWT_ENR_ACA132CE,MDT,MST,Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division,Gouvernement des Territoires du Nord-Ouest:  Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts,Data provided by the Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division (GNWT-ENR-FMD). All rights reserved.,Données d’observation fournies par le Gouvernement des Territoires du Nord-Ouest: Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts (GTNO-MERN-DAF). Tous droits réservés.
ACA1445E,Yeltea Lake TL,Yeltea Lake TL,NT,AUTO,66.88938,-129.38399,165,,,NWT_ENR_ACA1445E,MDT,MST,Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division,Gouvernement des Territoires du Nord-Ouest:  Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts,Data provided by the Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division (GNWT-ENR-FMD). All rights reserved.,Données d’observation fournies par le Gouvernement des Territoires du Nord-Ouest: Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts (GTNO-MERN-DAF). Tous droits réservés.
ACA15728,Grumbler Creek,Grumbler Creek,NT,AUTO,60.241665,-116.57555,285,,,NWT_ENR_ACA15728,MDT,MST,Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division,Gouvernement des Territoires du Nord-Ouest:  Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts,Data provided by the Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division (GNWT-ENR-FMD). All rights reserved.,Données d’observation fournies par le Gouvernement des Territoires du Nord-Ouest: Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts (GTNO-MERN-DAF). Tous droits réservés.
ACA171C4,Mosquito TL,Mosquito TL,NT,AUTO,62.54991111,-116.4842389,290,,,NWT_ENR_ACA171C4,MDT,MST,Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division,Gouvernement des Territoires du Nord-Ouest:  Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts,Data provided by the Government of Northwest Territories: Department of Environment and Natural Resources; Forest Management Division (GNWT-ENR-FMD). All rights reserved.,Données d’observation fournies par le Gouvernement des Territoires du Nord-Ouest: Ministère de l’Environnement et des Ressources naturelles; Division de l'aménagement des forêts (GTNO-MERN-DAF). Tous droits réservés.
